aX,aY,aZ,gX,gY,gZ
0.800,0.041,1.170,117.310,-207.275,-170.898
0.930,-0.176,1.430,93.750,-184.021,-168.518
0.832,-0.038,1.454,65.796,-152.710,-153.076
0.825,-0.406,1.309,49.011,-115.051,-157.410
0.839,-0.602,1.257,36.560,-84.900,-149.475
0.848,-0.704,1.241,26.123,-62.744,-129.761
0.864,-0.800,1.138,24.658,-42.542,-111.755
0.871,-0.800,1.041,25.574,-25.391,-92.407
0.888,-0.776,0.940,25.146,-10.254,-71.838
0.911,-0.730,0.841,18.921,3.052,-53.406
0.924,-0.641,0.812,13.245,12.512,-36.499
0.935,-0.534,0.775,10.925,19.409,-23.315
0.938,-0.434,0.701,11.719,28.198,-13.611
0.928,-0.334,0.624,9.033,36.133,-6.958
0.904,-0.266,0.543,7.141,40.833,-2.869
0.900,-0.244,0.415,6.714,41.687,-1.648
0.881,-0.223,0.320,2.869,42.725,0.854
0.876,-0.223,0.273,-4.700,41.565,3.967
0.891,-0.225,0.280,-12.390,35.889,7.080
0.913,-0.207,0.311,-15.564,28.015,9.705
0.927,-0.163,0.307,-12.573,23.743,11.108
0.938,-0.122,0.294,-5.310,21.667,10.193
0.929,-0.145,0.308,2.014,19.714,7.446
0.924,-0.145,0.297,7.446,15.869,6.104
0.918,-0.134,0.259,10.925,14.038,6.531
0.927,-0.110,0.287,8.911,13.489,7.324
0.928,-0.089,0.323,4.089,13.855,8.484
0.932,-0.092,0.311,1.343,13.184,8.789
0.926,-0.094,0.301,0.061,16.052,9.155
0.921,-0.110,0.311,-2.686,19.165,9.460
0.916,-0.102,0.277,-4.761,19.043,10.620
0.923,-0.083,0.230,-5.981,20.203,12.146
0.919,-0.083,0.258,-6.836,18.494,12.756
0.923,-0.057,0.258,-7.263,17.151,13.123
0.923,-0.007,0.199,-5.188,19.104,13.184
0.923,0.005,0.194,-1.099,15.381,11.108
0.926,-0.033,0.253,2.075,8.606,7.812
0.936,-0.016,0.259,4.272,9.399,6.775
0.928,-0.004,0.223,6.409,10.010,6.165
0.927,-0.008,0.245,4.761,5.066,4.822
0.935,-0.011,0.263,2.686,5.127,4.089
0.936,-0.002,0.253,4.272,6.775,3.418
0.935,-0.014,0.251,4.639,5.127,2.014
0.937,-0.039,0.255,3.418,7.080,1.099
0.933,-0.059,0.254,3.052,5.127,1.099
0.933,-0.060,0.235,1.160,3.418,2.380
0.933,-0.074,0.226,-0.977,4.761,3.784
0.941,-0.060,0.260,-3.662,3.113,5.920
0.956,-0.026,0.276,-6.470,1.160,7.568
0.960,-0.004,0.269,-5.493,4.578,7.385
0.954,-0.029,0.261,-2.319,3.784,5.127
0.952,-0.033,0.259,-2.563,1.404,4.272

0.940,1.304,1.303,237.610,-170.227,-235.352
0.901,1.202,1.992,204.956,-146.729,-271.606
0.806,0.908,2.565,147.644,-91.003,-303.894
0.706,0.633,3.057,69.824,-14.832,-325.623
0.480,0.267,3.360,-3.601,71.411,-341.614
0.209,-0.101,3.328,-51.941,154.724,-355.469
-0.095,-0.596,2.978,-69.519,233.215,-368.225
-0.288,-1.095,2.564,-63.293,292.542,-371.460
-0.460,-1.563,2.275,-45.227,329.163,-360.596
-0.571,-2.118,1.992,-23.376,360.840,-339.417
-0.631,-2.390,1.519,-9.399,389.526,-303.528
-0.687,-2.719,1.169,-2.075,400.818,-256.287
-0.644,-2.825,1.102,-8.301,399.109,-192.505
-0.656,-2.480,1.010,-1.282,397.095,-118.713
-0.681,-1.948,0.868,7.141,403.076,-55.359
-0.735,-1.777,0.682,6.470,412.842,-25.635
-0.807,-1.825,0.438,8.240,422.668,-9.644
-0.861,-1.843,0.156,15.259,424.744,9.888
-0.921,-1.792,-0.120,25.879,415.222,31.921
-0.877,-1.744,-0.408,33.569,401.611,52.612
-0.859,-1.715,-0.532,45.837,374.512,68.298
-0.773,-1.730,-0.504,58.960,343.140,81.177
-0.742,-1.693,-0.502,81.726,315.491,98.267
-0.744,-1.602,-0.609,101.746,297.424,119.995
-0.753,-1.537,-0.804,116.516,282.349,143.860
-0.705,-1.482,-0.845,122.375,260.925,169.678
-0.641,-1.329,-0.771,129.395,237.000,197.144
-0.650,-1.063,-0.906,145.691,220.520,224.426
-0.660,-0.869,-1.066,161.499,205.200,243.713
-0.628,-0.732,-1.143,169.373,184.448,255.859
-0.583,-0.610,-1.204,171.875,162.476,265.808
-0.572,-0.525,-1.257,171.753,139.404,273.254
-0.567,-0.353,-1.348,173.584,115.417,280.823
-0.523,-0.131,-1.452,179.138,89.172,285.583
-0.469,0.037,-1.462,182.007,58.472,282.898
-0.409,0.248,-1.412,182.739,26.367,275.452
-0.329,0.462,-1.403,191.345,0.916,263.245
-0.286,0.536,-1.473,203.369,-18.494,243.469
-0.290,0.435,-1.615,210.205,-38.330,219.727
-0.308,0.347,-1.719,208.984,-64.697,204.468
-0.306,0.401,-1.714,206.421,-98.389,198.730
