aX,aY,aZ,gX,gY,gZ
0.280,-0.001,1.445,25.085,142.700,8.484
0.293,-0.005,1.433,24.353,153.931,9.277
0.317,0.049,1.475,25.696,162.842,10.742
0.358,0.126,1.564,25.391,175.293,11.536
0.387,0.128,1.573,26.794,188.965,9.399
0.368,0.094,1.483,30.762,211.182,6.897
0.349,0.086,1.334,34.424,228.333,6.226
0.358,0.059,1.187,32.288,243.530,5.127
0.368,0.079,0.965,28.381,256.042,5.371
0.367,0.043,0.842,21.423,259.216,3.967
0.391,0.015,0.821,13.489,257.568,3.479
0.422,0.001,0.748,6.348,258.179,4.639
0.434,0.029,0.618,0.000,261.719,6.165
0.467,0.079,0.513,-5.310,260.437,6.653
0.504,0.111,0.419,-7.996,257.141,4.517
0.530,0.137,0.412,-9.216,249.634,0.854
0.548,0.139,0.420,-9.583,245.239,-2.563
0.567,0.138,0.356,-10.620,243.713,-5.981
0.557,0.072,0.235,-7.141,244.568,-10.803
0.553,0.038,0.167,-4.578,241.577,-13.367
0.563,0.046,0.116,-5.737,236.755,-13.794
0.592,0.029,0.048,-6.592,230.896,-14.709
0.618,0.019,-0.005,-2.014,223.450,-15.747
0.613,-0.002,-0.095,2.930,216.553,-17.151
0.605,-0.032,-0.206,4.944,209.961,-18.311
0.626,-0.089,-0.226,4.333,199.341,-18.860
0.644,-0.077,-0.252,1.221,189.026,-15.930
0.673,-0.020,-0.292,-3.662,181.519,-13.062
0.726,0.031,-0.321,-7.324,172.424,-13.489
0.726,-0.044,-0.308,-6.470,162.598,-16.907
0.750,-0.024,-0.303,-4.395,154.724,-17.639
0.739,-0.002,-0.364,-2.991,150.330,-18.250
0.732,-0.063,-0.475,-1.953,145.081,-21.484
0.714,-0.142,-0.535,-1.160,136.292,-23.865
0.706,-0.199,-0.618,0.061,125.977,-22.949
0.707,-0.218,-0.688,-0.183,116.394,-19.348
0.709,-0.221,-0.718,-0.916,104.431,-15.137
0.714,-0.215,-0.769,-2.380,93.567,-11.108
0.723,-0.231,-0.813,-4.944,81.482,-7.690
0.736,-0.189,-0.907,-8.972,69.214,-3.845
0.757,-0.156,-0.994,-14.954,54.993,-0.977
0.767,-0.169,-0.960,-21.423,36.255,-0.183
0.784,-0.169,-0.857,-27.588,17.883,1.038
0.803,-0.145,-0.808,-32.532,5.188,2.747
0.811,-0.128,-0.824,-37.476,-3.601,3.906
0.809,-0.111,-0.767,-41.260,-14.954,4.761
0.847,-0.119,-0.585,-44.556,-28.137,4.639
0.876,-0.076,-0.516,-45.288,-34.729,4.944
0.889,-0.048,-0.485,-42.236,-39.429,3.906
0.904,-0.113,-0.365,-35.156,-45.776,0.000
0.910,-0.153,-0.244,-25.574,-49.805,-2.441
0.919,-0.168,-0.221,-14.282,-48.706,-2.869
0.913,-0.199,-0.188,-6.653,-45.166,-2.747
0.916,-0.193,-0.171,-2.747,-39.673,-2.197
0.923,-0.184,-0.173,-1.038,-34.302,-1.221
0.927,-0.185,-0.200,-1.526,-28.809,-0.305
0.932,-0.189,-0.164,-3.479,-25.513,1.282
0.941,-0.168,-0.144,-6.348,-22.217,3.723
0.956,-0.153,-0.146,-10.132,-18.433,5.554
0.960,-0.147,-0.088,-12.451,-17.212,6.165
0.968,-0.120,-0.080,-12.939,-14.282,6.470
0.969,-0.126,-0.103,-10.742,-11.658,5.737
0.982,-0.178,-0.042,-8.728,-11.353,4.761
0.979,-0.155,-0.048,-6.653,-8.728,6.470
0.983,-0.124,-0.051,-3.479,-6.287,8.179
0.983,-0.131,-0.075,-1.282,-5.371,7.507
0.981,-0.116,-0.082,-0.244,-5.249,7.446
0.993,-0.106,-0.080,-0.427,-5.981,7.568
